Dragonite,N/A,N/A,6,0,Mist,0,0,Dragon Rage,40,40,Outrage,120,100,Hyper Beam,150,100,1
Onix,N/A,N/A,8,1,Tackle,20,100,Rock Tomb,100,75,Bind,90,50,Harden,0,0,2
Pikachu,N/A,N/A,2,1,Tackle,20,100,Thunderbolt,75,75,Volt Tackle,90,50,Double Team,0,0,3
Harry Potter,N/A,N/A,10,3,Expecto Patronum,30,50,Expelliarmus,60,70,Avada Kedavra,1000000000,5,Obliviate,50,100,4
Umbreon,N/A,N/A,6,1,MoonLight,0,0,Shadow Ball,80,100,Attract,0,0,Dark Pulse,80,100,5
Shuckle,N/A,N/A,10,2,Tackle,20,100,Rollout,30,90,Struggle Bug,50,100,Bug Bite,60,70,6
Slowpoke,N/A,N/A,6,3,Water Gun,40,100,Confusion,50,100,Psychic,90,100,Slack Off,0,0,7
Gallade,N/A,N/A,7,0,Close Combat,120,100,Slash,70,100,Teleport,0,0,Fury Cutter,40,70,8
Charizard,N/A,N/A,8,1,Flamethrower,90,100,Fly,60,70,Smokescreen,0,100,Wing Attack,60,100,9
Dark Squirtle,N/A,N/A,6,1,Water Gun,40,100,Bite,40,90,Bubble Beam,65,100,Pimping ;),0,1,10
